ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
AWR,2020-12-31,586555000.0,38543000,29162000.0,-8253000,44843000,122170000
AWR,2021-12-31,629017000.0,-17522000,34416000.0,-28931000,-2266000,115584000
BA,2018-12-31,13847000000.0,6240000000,3936000000.0,13531000000,-11722000000,15322000000
BA,2019-12-31,27302000000.0,4917000000,3337000000.0,-4407000000,5739000000,-2446000000
BA,2020-12-31,63851000000.0,34362000000,2385000000.0,-19713000000,34955000000,-18410000000
BA,2021-12-31,58370000000.0,26674000000,3026000000.0,-4396000000,-5600000000,-3416000000
BAX,2018-12-31,3477000000.0,3083000000,1812000000.0,1415000000,-2603000000,2096000000
BAX,2019-12-31,5961000000.0,4273000000,1896000000.0,1408000000,498000000,2104000000
BAX,2020-12-31,6804000000.0,5078000000,2077000000.0,1159000000,-345000000,1868000000
BAX,2021-12-31,18310000000.0,4636000000,2629000000.0,1479000000,8245000000,2222000000
BDX,2018-09-30,21495000000.0,195000000,2319000000.0,1970000000,-58000000,2865000000
BDX,2019-09-30,19390000000.0,1009000000,2345000000.0,2371000000,-3223000000,3328000000
BDX,2020-09-30,17930000000.0,3133000000,2398000000.0,2729000000,22000000,3539000000
BDX,2021-09-30,17610000000.0,2212000000,2497000000.0,3416000000,-3306000000,4647000000
BIIB,2018-12-31,5936500000.0,4345700000,2485400000.0,5301600000,-4472000000,6187700000
BIIB,2019-12-31,6367500000.0,3518000000,2470700000.0,6409100000,-5860400000,7078600000
BIIB,2020-12-31,7828200000.0,3144900000,2327300000.0,3678000000,-5272700000,4229800000
BIIB,2021-12-31,7603500000.0,3558300000,1961700000.0,3345000000,-2086200000,3639900000
BKR,2018-12-31,7227000000.0,5951000000,4974000000.0,767000000,-4363000000,1762000000
BKR,2019-12-31,6622000000.0,5208000000,5448000000.0,886000000,-1534000000,2126000000
BKR,2020-12-31,7633000000.0,6228000000,4676000000.0,330000000,225000000,1304000000
BKR,2021-12-31,6727000000.0,5937000000,4724000000.0,1518000000,-2143000000,2374000000
BMY,2018-12-31,7349000000.0,6506000000,4636000000.0,4989000000,-3535000000,5940000000
BMY,2019-12-31,47538000000.0,11050000000,6476000000.0,7231000000,7621000000,8067000000
BMY,2020-12-31,51673000000.0,11112000000,7219000000.0,13299000000,-1151000000,14052000000
BMY,2021-12-31,45596000000.0,11394000000,7979000000.0,15234000000,-16224000000,16207000000
BSX,2018-12-31,7030000000.0,-1257000000,1608000000.0,-6000000,1432000000,310000000
BSX,2019-12-31,10277000000.0,-167000000,1828000000.0,1375000000,2973000000,1836000000
BSX,2020-12-31,9539000000.0,3013000000,1531000000.0,1132000000,293000000,1508000000
BSX,2021-12-31,9451000000.0,2043000000,1778000000.0,1316000000,-95000000,1870000000
BWA,2018-12-31,2113300000.0,1405700000,1727700000.0,579900000,-383400000,1126500000
BWA,2019-12-31,2045000000.0,1507000000,1713000000.0,527000000,-420000000,1008000000
BWA,2020-12-31,4006000000.0,2357000000,2636000000.0,723000000,437000000,1184000000
BWA,2021-12-31,4522000000.0,2799000000,2522000000.0,638000000,286000000,1306000000
CARR,2018-12-31,0.0,1643000000,2549000000.0,1792000000,-2627000000,2055000000
CARR,2019-12-31,682000000.0,1490000000,2444000000.0,1759000000,-1967000000,2002000000
CARR,2020-12-31,11030000000.0,3414000000,2567000000.0,1380000000,-681000000,1692000000
CARR,2021-12-31,10223000000.0,4780000000,2403000000.0,1893000000,-1562000000,2237000000
CAT,2018-12-31,36553000000.0,10385000000,17452000000.0,3642000000,-3650000000,6558000000
CAT,2019-12-31,37657000000.0,12572000000,17904000000.0,4243000000,-4538000000,6912000000
CAT,2020-12-31,37163000000.0,13747000000,16780000000.0,4212000000,-3755000000,6327000000
CAT,2021-12-31,37789000000.0,13608000000,17375000000.0,4726000000,-4188000000,7198000000
CDW,2018-12-31,3208600000.0,993700000,2671200000.0,819800000,-754800000,905900000
CDW,2019-12-31,3448400000.0,842700000,3002200000.0,790900000,-749800000,1027200000
CDW,2020-12-31,4566300000.0,2055200000,3212600000.0,1156300000,138800000,1314300000
CDW,2021-12-31,7352800000.0,1382100000,4499400000.0,684600000,832800000,784600000
CL,2018-12-31,6366000000.0,452000000,1400000000.0,2620000000,-2679000000,3056000000
CL,2019-12-31,8483000000.0,141000000,1440000000.0,2798000000,-870000000,3133000000
CL,2020-12-31,8214000000.0,-66000000,1264000000.0,3309000000,-2919000000,3719000000
CL,2021-12-31,7833000000.0,346000000,1297000000.0,2758000000,-2774000000,3325000000
CLX,2018-06-30,2483000000.0,111000000,600000000.0,780000000,-399000000,974000000
CLX,2019-06-30,2683000000.0,-135000000,631000000.0,786000000,-815000000,992000000
CLX,2020-06-30,3122000000.0,602000000,648000000.0,1292000000,-523000000,1546000000
CLX,2021-06-30,3166000000.0,-227000000,604000000.0,945000000,-1391000000,1276000000
CMI,2018-12-31,2476000000.0,3434000000,3866000000.0,1594000000,-1400000000,2378000000
CMI,2019-12-31,2868000000.0,3127000000,3670000000.0,2406000000,-2095000000,3181000000
CMI,2020-12-31,4617000000.0,5562000000,3440000000.0,2147000000,280000000,2722000000
CMI,2021-12-31,4613000000.0,5225000000,3565000000.0,1470000000,-2227000000,2256000000
CNHI,2018-12-31,24445000000.0,23544000000,399000000.0,652000000,-723000000,2554000000
