ticker,date,date2,ebit_to_interestExpense,ebitda_to_interestExpense,FreeOperCF_to_TotalDebt,FFO_to_TotalDebt,Return_on_Capital,ebitda_to_Revenue,TotalDebt_to_EnterpriseValue,TotalDebt_to_ebitda,ROCE,ROIC,DIO,DPO,DSO,InventoryTurnover,CCC
005490.KS,2018-12-31,2018,7.391786453683818,11.799781115694675,0.5381586768627736,0.43526064301046924,0.24603496216599627,0.1346172628141854,1.3115868402137691,2.3212211024687455,0.056381449956812935,0.037919674641474006,,,,,
005490.KS,2019-12-31,2019,5.013200937329217,9.593146341643829,0.4635209177006123,0.3457601703317641,0.18042710875609813,0.1126301265617277,1.4018572526764148,2.9128432441760372,0.03971941401773627,0.042405070881809684,70.37949073837288,23.320583034566557,51.402291205424504,5.1861699505164465,98.46119890923083
005490.KS,2020-12-31,2020,3.6786805932244517,9.348305855929192,0.43176843167642637,0.2840870472902323,0.15905463189253857,0.10332896445185716,1.5986247561727323,3.5563390038978957,0.02449325171581445,0.03448740995792349,68.66019032858829,24.67804968952425,53.52434167228445,5.316035365664049,97.50648231134849
2330.TW,2018-12-31,2018,127.04698476643628,221.99613695885225,5.499394920209776,3.7525537634855253,-0.478819891901342,0.6566913076958307,-0.2532886042305528,0.26655659457659603,0.15948219317435583,0.30073341163337486,,,,,
2330.TW,2019-12-31,2019,115.60055148704322,202.6968983775613,5.877006501487682,3.4611451921910743,-0.4567378583224353,0.6158369772520496,-0.26257966579801256,0.2890476850789731,0.13160369300885053,0.33366966922534025,59.21675265076207,23.709434164042765,44.51757459789304,6.163796285024805,80.02489308461234
2330.TW,2020-12-31,2020,272.3016822367046,429.9103905681362,3.812145751827866,2.434650839617904,-0.6255051566439235,0.6681619693655145,-0.45996054143761655,0.4110149934748272,0.16779359902491564,0.3504878791479485,64.0193171644542,23.622401498910914,37.98515490455087,5.701404141227876,78.38207057009414
2412.TW,2018-12-31,2018,2418.5555555555557,4166.444444444444,60.90941176470588,44.27058823529412,-0.6813285622534178,0.34803673607662783,-0.031195522525002295,0.022667875620033067,0.08209717994847947,0.1986385809783937,,,,,
2412.TW,2019-12-31,2019,391.625,726.125,8.707459818308875,6.600716282320056,-0.7009707492302429,0.36390227447956824,-0.2447827574409853,0.15159500509818982,0.07496995054033806,0.17555010956808131,49.96724971129729,48.02617448677116,49.67391094834233,7.304784676141096,51.61498617286846
2412.TW,2020-12-31,2020,197.89320388349515,372.626213592233,2.6219700337316634,2.0155322542687553,-2.080826109127996,0.3697383061427973,-2.4377231004589497,0.49820872578522946,0.07035862775995291,0.15977005391473073,45.60868502287837,41.157692897123965,43.10013053384005,8.002861731639655,47.551122659594455
4502.T,2019-03-31,2019,4.49613771336019,9.639436853689936,0.09422667659661854,0.08953875628569953,0.04505830707029175,0.2213478388574611,1.1568580987093409,12.388523876815965,0.013246504213737308,0.025440924560429148,,,,,
4502.T,2020-03-31,2020,2.0022079055096973,5.699127575330515,0.19168480813240285,0.16920352682659429,0.09319231494281764,0.25803053487069105,1.1766609496632636,5.997576619678838,0.01989392272797105,0.033292257436165214,281.23038399243853,71.00390232487715,76.3094770034407,1.2978682986466135,286.53595867100205
