,ticker,date,exchange_rate
148,ATKR,2019-09-30,1.0
149,ATKR,2020-09-30,1.0
150,ATKR,2021-09-30,1.0
151,ATO,2018-09-30,1.0
152,ATO,2019-09-30,1.0
153,ATO,2020-09-30,1.0
154,ATO,2021-09-30,1.0
155,AU,2017-12-31,1.0
156,AU,2018-12-31,1.0
157,AU,2019-12-31,1.0
158,AU,2020-12-31,1.0
159,AVT,2018-06-30,1.0
160,AVT,2019-06-29,1.0
161,AVT,2020-06-27,1.0
162,AVT,2021-07-03,1.0
163,AYI,2018-08-31,1.0
164,AYI,2019-08-31,1.0
165,AYI,2020-08-31,1.0
166,AYI,2021-08-31,1.0
167,AZO,2018-08-25,1.0
168,AZO,2019-08-31,1.0
169,AZO,2020-08-29,1.0
170,AZO,2021-08-28,1.0
171,BA,2018-12-31,1.0
172,BA,2019-12-31,1.0
173,BA,2020-12-31,1.0
174,BA,2021-12-31,1.0
175,BABA,2018-03-31,1.0
176,BABA,2019-03-31,1.0
177,BABA,2020-03-31,1.0
178,BABA,2021-03-31,1.0
179,BAK,2017-12-31,1.0
180,BAK,2018-12-31,1.0
181,BAK,2019-12-31,1.0
182,BAK,2020-12-31,1.0
183,BATS.L,2018-12-31,1.2800017886487876
184,BATS.L,2019-12-31,1.3204043253408555
185,BATS.L,2020-12-31,1.3649155200605096
186,BATS.L,2021-12-31,1.347884038653782
187,BAX,2017-12-31,1.0
188,BAX,2018-12-31,1.0
189,BAX,2019-12-31,1.0
190,BAX,2020-12-31,1.0
191,BBWI,2018-02-03,1.0
192,BBWI,2019-02-02,1.0
193,BBWI,2020-02-01,1.0
194,BBWI,2021-01-30,1.0
195,BBY,2018-02-03,1.0
196,BBY,2019-02-02,1.0
197,BBY,2020-02-01,1.0
198,BBY,2021-01-30,1.0
199,BC,2017-12-31,1.0
200,BC,2018-12-31,1.0
201,BC,2019-12-31,1.0
202,BC,2020-12-31,1.0
203,BCC,2017-12-31,1.0
204,BCC,2018-12-31,1.0
205,BCC,2019-12-31,1.0
206,BCC,2020-12-31,1.0
207,BDX,2018-09-30,1.0
208,BDX,2019-09-30,1.0
209,BDX,2020-09-30,1.0
210,BDX,2021-09-30,1.0
211,BECN,2018-09-30,1.0
212,BECN,2019-09-30,1.0
213,BECN,2020-09-30,1.0
214,BECN,2021-09-30,1.0
215,BF-B,2018-04-30,1.0
216,BF-B,2019-04-30,1.0
217,BF-B,2020-04-30,1.0
218,BF-B,2021-04-30,1.0
219,BIIB,2017-12-31,1.0
220,BIIB,2018-12-31,1.0
221,BIIB,2019-12-31,1.0
222,BIIB,2020-12-31,1.0
223,BIO,2017-12-31,1.0
224,BIO,2018-12-31,1.0
225,BIO,2019-12-31,1.0
226,BIO,2020-12-31,1.0
227,BKR,2017-12-31,1.0
228,BKR,2018-12-31,1.0
229,BKR,2019-12-31,1.0
230,BKR,2020-12-31,1.0
231,BLD,2017-12-31,1.0
232,BLD,2018-12-31,1.0
233,BLD,2019-12-31,1.0
234,BLD,2020-12-31,1.0
235,BP,2017-12-31,1.0
236,BP,2018-12-31,1.0
237,BP,2019-12-31,1.0
238,BP,2020-12-31,1.0
239,BRBR,2018-09-30,1.0
240,BRBR,2019-09-30,1.0
241,BRBR,2020-09-30,1.0
242,BRBR,2021-09-30,1.0
243,BRK-A,2017-12-31,1.0
244,BRK-A,2018-12-31,1.0
245,BRK-A,2019-12-31,1.0
246,BRK-A,2020-12-31,1.0
247,BSX,2017-12-31,1.0
248,BSX,2018-12-31,1.0
249,BSX,2019-12-31,1.0
250,BSX,2020-12-31,1.0
251,BWA,2017-12-31,1.0
252,BWA,2018-12-31,1.0
253,BWA,2019-12-31,1.0
254,BWA,2020-12-31,1.0
255,CCO,2018-12-31,1.0
256,CCO,2019-12-31,1.0
257,CCO,2020-12-31,1.0
258,CCO,2021-12-31,1.0
259,CCS,2018-12-31,1.0
260,CCS,2019-12-31,1.0
261,CCS,2020-12-31,1.0
262,CCS,2021-12-31,1.0
263,CCU,2017-12-31,1.0
264,CCU,2018-12-31,1.0
265,CCU,2019-12-31,1.0
266,CCU,2020-12-31,1.0
267,CDE,2018-12-31,1.0
268,CDE,2019-12-31,1.0
269,CDE,2020-12-31,1.0
270,CDE,2021-12-31,1.0
271,CENX,2018-12-31,1.0
272,CENX,2019-12-31,1.0
273,CENX,2020-12-31,1.0
274,CENX,2021-12-31,1.0
275,CF,2018-12-31,1.0
276,CF,2019-12-31,1.0
277,CF,2020-12-31,1.0
278,CF,2021-12-31,1.0
279,CHD,2018-12-31,1.0
280,CHD,2019-12-31,1.0
281,CHD,2020-12-31,1.0
282,CHD,2021-12-31,1.0
283,CHX,2018-12-31,1.0
284,CHX,2019-12-31,1.0
285,CHX,2020-12-31,1.0
286,CHX,2021-12-31,1.0
287,CIEN,2018-11-03,1.0
288,CIEN,2019-11-02,1.0
289,CIEN,2020-10-31,1.0
290,CIEN,2021-10-30,1.0
291,CLMT,2018-12-31,1.0
292,CLMT,2019-12-31,1.0
293,CLMT,2020-12-31,1.0
294,CLMT,2021-12-31,1.0
295,CLS,2018-12-31,1.0
296,CLS,2019-12-31,1.0
297,CLS,2020-12-31,1.0
298,CLS,2021-12-31,1.0
299,CMC,2018-08-31,1.0
300,CMC,2019-08-31,1.0
301,CMC,2020-08-31,1.0
302,CMC,2021-08-31,1.0
303,CMCO,2018-03-31,1.0
304,CMCO,2019-03-31,1.0
305,CMCO,2020-03-31,1.0
306,CMCO,2021-03-31,1.0
307,CMI,2018-12-31,1.0
308,CMI,2019-12-31,1.0
309,CMI,2020-12-31,1.0
310,CMI,2021-12-31,1.0
311,CNQ,2018-12-31,1.0
312,CNQ,2019-12-31,1.0
313,CNQ,2020-12-31,1.0
314,CNQ,2021-12-31,1.0
315,CNR,2018-10-28,1.0
316,CNR,2018-12-31,1.0
317,CNR,2019-12-31,1.0
318,CNR,2020-12-31,1.0
319,COHR,2018-09-29,1.0
320,COHR,2019-09-28,1.0
321,COHR,2020-10-03,1.0
322,COHR,2021-10-02,1.0
323,COHU,2018-12-29,1.0
324,COHU,2019-12-28,1.0
325,COHU,2020-12-26,1.0
326,COHU,2021-12-25,1.0
327,COP,2018-12-31,1.0
328,COP,2019-12-31,1.0
329,COP,2020-12-31,1.0
330,COP,2021-12-31,1.0
331,COST,2018-09-02,1.0
332,COST,2019-09-01,1.0
333,COST,2020-08-30,1.0
334,COST,2021-08-29,1.0
335,CPAC,2017-12-31,1.0
336,CPAC,2018-12-31,1.0
337,CPAC,2019-12-31,1.0
338,CPAC,2020-12-31,1.0
339,CR,2018-12-31,1.0
340,CR,2019-12-31,1.0
341,CR,2020-12-31,1.0
342,CR,2021-12-31,1.0
343,CRG.IR,2017-12-31,1.1993
344,CRG.IR,2018-12-31,1.145
345,CRG.IR,2019-12-31,1.1234
346,CRG.IR,2020-12-31,1.2271
347,CRL,2017-12-30,1.0
348,CRL,2018-12-29,1.0
349,CRL,2019-12-28,1.0
350,CRL,2020-12-26,1.0
351,CRS,2018-06-30,1.0
352,CRS,2019-06-30,1.0
353,CRS,2020-06-30,1.0
354,CRS,2021-06-30,1.0
355,CRSR,2018-12-31,1.0
356,CRSR,2019-12-31,1.0
357,CRSR,2020-12-31,1.0
358,CRSR,2021-12-31,1.0
359,CSCO,2018-07-28,1.0
360,CSCO,2019-07-27,1.0
361,CSCO,2020-07-25,1.0
362,CSCO,2021-07-31,1.0
363,CSL,2017-12-31,1.0
364,CSL,2018-12-31,1.0
365,CSL,2019-12-31,1.0
366,CSL,2020-12-31,1.0
367,CSTM,2017-12-31,1.0
368,CSTM,2018-12-31,1.0
369,CSTM,2019-12-31,1.0
370,CSTM,2020-12-31,1.0
371,CTAS,2018-05-31,1.0
372,CTAS,2019-05-31,1.0
373,CTAS,2020-05-31,1.0
374,CTAS,2021-05-31,1.0
375,CTLT,2018-06-30,1.0
376,CTLT,2019-06-30,1.0
377,CTLT,2020-06-30,1.0
378,CTLT,2021-06-30,1.0
379,CTVA,2017-12-31,1.0
380,CTVA,2018-12-31,1.0
381,CTVA,2019-12-31,1.0
382,CTVA,2020-12-31,1.0
383,CVE,2017-12-31,1.0
384,CVE,2018-12-31,1.0
385,CVE,2019-12-31,1.0
386,CVE,2020-12-31,1.0
387,CVX,2018-12-31,1.0
388,CVX,2019-12-31,1.0
389,CVX,2020-12-31,1.0
390,CVX,2021-12-31,1.0
391,CYH,2017-12-31,1.0
392,CYH,2018-12-31,1.0
393,CYH,2019-12-31,1.0
394,CYH,2020-12-31,1.0
395,DAR,2017-12-30,1.0
396,DAR,2018-12-29,1.0
397,DAR,2019-12-28,1.0
398,DAR,2021-01-02,1.0
399,DBD,2017-12-31,1.0
400,DBD,2018-12-31,1.0
401,DBD,2019-12-31,1.0
402,DBD,2020-12-31,1.0
403,DD,2017-12-31,1.0
404,DD,2018-12-31,1.0
405,DD,2019-12-31,1.0
406,DD,2020-12-31,1.0
407,DDS,2018-02-03,1.0
408,DDS,2019-02-02,1.0
409,DDS,2020-02-01,1.0
410,DDS,2021-01-30,1.0
411,DGX,2017-12-31,1.0
412,DGX,2018-12-31,1.0
413,DGX,2019-12-31,1.0
414,DGX,2020-12-31,1.0
415,DHI,2018-09-30,1.0
416,DHI,2019-09-30,1.0
417,DHI,2020-09-30,1.0
418,DHI,2021-09-30,1.0
419,DHR,2018-12-31,1.0
420,DHR,2019-12-31,1.0
421,DHR,2020-12-31,1.0
422,DHR,2021-12-31,1.0
423,DIS,2018-09-29,1.0
424,DIS,2019-09-28,1.0
425,DIS,2020-10-03,1.0
426,DIS,2021-10-02,1.0
427,DOLE,2017-12-31,1.0
428,DOLE,2018-12-31,1.0
429,DOLE,2019-12-31,1.0
430,DOLE,2020-12-31,1.0
431,DOV,2017-12-31,1.0
432,DOV,2018-12-31,1.0
433,DOV,2019-12-31,1.0
434,DOV,2020-12-31,1.0
435,EAF,2017-12-31,1.0
436,EAF,2018-12-31,1.0
437,EAF,2019-12-31,1.0
438,EAF,2020-12-31,1.0
439,EBS,2017-12-31,1.0
440,EBS,2018-12-31,1.0
441,EBS,2019-12-31,1.0
442,EBS,2020-12-31,1.0
443,EC,2018-12-31,1.0
444,EC,2019-12-31,1.0
445,EC,2020-12-31,1.0
446,EC,2021-12-31,1.0
447,ELAN,2017-12-31,1.0
448,ELAN,2018-12-31,1.0
449,ELAN,2019-12-31,1.0
450,ELAN,2020-12-31,1.0
451,ELD.TO,2018-12-31,0.7337391861582826
452,ELD.TO,2019-12-31,0.7695574736265242
453,ELD.TO,2020-12-31,0.7849421096398644
454,ELD.TO,2021-12-31,0.7869103036198152
455,EMN,2017-12-31,1.0
456,EMN,2018-12-31,1.0
457,EMN,2019-12-31,1.0
458,EMN,2020-12-31,1.0
459,EMR,2018-09-30,1.0
