ticker,date,exchange_rate
BBWI,2021-05-01,1.0
BBWI,2021-07-31,1.0
BBWI,2021-10-30,1.0
BBY,2021-01-30,1.0
BBY,2021-05-01,1.0
BBY,2021-07-31,1.0
BBY,2021-10-30,1.0
BC,2020-12-31,1.0
BC,2021-04-03,1.0
BC,2021-07-03,1.0
BC,2021-10-02,1.0
BCC,2020-12-31,1.0
BCC,2021-03-31,1.0
BCC,2021-06-30,1.0
BCC,2021-09-30,1.0
BDX,2020-12-31,1.0
BDX,2021-03-31,1.0
BDX,2021-06-30,1.0
BDX,2021-09-30,1.0
BECN,2020-12-31,1.0
BECN,2021-03-31,1.0
BECN,2021-06-30,1.0
BECN,2021-09-30,1.0
BF-B,2021-04-30,1.0
BF-B,2021-07-31,1.0
BF-B,2021-10-31,1.0
BF-B,2022-01-31,1.0
BIIB,2020-12-31,1.0
BIIB,2021-03-31,1.0
BIIB,2021-06-30,1.0
BIIB,2021-09-30,1.0
BIO,2020-12-31,1.0
BIO,2021-03-31,1.0
BIO,2021-06-30,1.0
BIO,2021-09-30,1.0
BKR,2020-12-31,1.0
BKR,2021-03-31,1.0
BKR,2021-06-30,1.0
BKR,2021-09-30,1.0
BLD,2020-12-31,1.0
BLD,2021-03-31,1.0
BLD,2021-06-30,1.0
BLD,2021-09-30,1.0
BP,2020-12-31,1.0
BP,2021-03-31,1.0
BP,2021-06-30,1.0
BP,2021-09-30,1.0
BRBR,2021-03-31,1.0
BRBR,2021-06-30,1.0
BRBR,2021-09-30,1.0
BRBR,2021-12-31,1.0
BRK-A,2020-12-31,1.0
BRK-A,2021-03-31,1.0
BRK-A,2021-06-30,1.0
BRK-A,2021-09-30,1.0
BSX,2020-12-31,1.0
BSX,2021-03-31,1.0
BSX,2021-06-30,1.0
BSX,2021-09-30,1.0
BWA,2020-12-31,1.0
BWA,2021-03-31,1.0
BWA,2021-06-30,1.0
BWA,2021-09-30,1.0
CCO,2021-03-31,1.0
CCO,2021-06-30,1.0
CCO,2021-09-30,1.0
CCO,2021-12-31,1.0
CCS,2021-03-31,1.0
CCS,2021-06-30,1.0
CCS,2021-09-30,1.0
CCS,2021-12-31,1.0
CCU,2020-12-31,1.0
CCU,2021-03-31,1.0
CCU,2021-06-30,1.0
CCU,2021-09-30,1.0
CDE,2021-03-31,1.0
CDE,2021-06-30,1.0
CDE,2021-09-30,1.0
CDE,2021-12-31,1.0
CENX,2021-06-30,1.0
CENX,2021-09-30,1.0
CENX,2021-12-31,1.0
CENX,2022-03-31,1.0
CF,2021-03-31,1.0
CF,2021-06-30,1.0
CF,2021-09-30,1.0
CF,2021-12-31,1.0
CHD,2021-06-30,1.0
CHD,2021-09-30,1.0
CHD,2021-12-31,1.0
CHD,2022-03-31,1.0
CHX,2021-06-30,1.0
CHX,2021-09-30,1.0
CHX,2021-12-31,1.0
CHX,2022-03-31,1.0
CIEN,2021-05-01,1.0
CIEN,2021-07-31,1.0
CIEN,2021-10-30,1.0
CIEN,2022-01-29,1.0
CLMT,2021-03-31,1.0
CLMT,2021-06-30,1.0
CLMT,2021-09-30,1.0
CLMT,2021-12-31,1.0
CLS,2021-06-30,1.0
CLS,2021-09-30,1.0
CLS,2021-12-31,1.0
CLS,2022-03-31,1.0
CMC,2021-05-31,1.0
CMC,2021-08-31,1.0
CMC,2021-11-30,1.0
CMC,2022-02-28,1.0
CMCO,2021-03-31,1.0
CMCO,2021-06-30,1.0
CMCO,2021-09-30,1.0
CMCO,2021-12-31,1.0
CMI,2021-04-04,1.0
CMI,2021-07-04,1.0
CMI,2021-10-03,1.0
CMI,2021-12-31,1.0
CNQ,2021-03-31,1.0
CNQ,2021-06-30,1.0
CNQ,2021-09-30,1.0
CNQ,2021-12-31,1.0
CNR,2021-04-03,1.0
CNR,2021-07-03,1.0
CNR,2021-10-02,1.0
CNR,2021-12-31,1.0
COHR,2021-04-03,1.0
COHR,2021-07-03,1.0
COHR,2021-10-02,1.0
COHR,2022-01-01,1.0
COHU,2021-06-26,1.0
COHU,2021-09-25,1.0
COHU,2021-12-25,1.0
COHU,2022-03-31,1.0
COP,2021-03-31,1.0
COP,2021-06-30,1.0
COP,2021-09-30,1.0
COP,2021-12-31,1.0
COST,2021-02-14,1.0
COST,2021-05-09,1.0
COST,2021-08-29,1.0
COST,2021-11-21,1.0
CPAC,2020-12-31,1.0
CPAC,2021-03-31,1.0
CPAC,2021-06-30,1.0
CPAC,2021-09-30,1.0
CR,2021-03-31,1.0
CR,2021-06-30,1.0
CR,2021-09-30,1.0
CR,2021-12-31,1.0
CRG.IR,2020-09-30,1.1708
CRG.IR,2020-12-31,1.2271
CRG.IR,2021-03-31,1.1725
CRG.IR,2021-06-30,1.0385
CRL,2020-12-26,1.0
CRL,2021-03-27,1.0
CRL,2021-06-26,1.0
CRL,2021-09-25,1.0
CRS,2021-03-31,1.0
CRS,2021-06-30,1.0
CRS,2021-09-30,1.0
CRS,2021-12-31,1.0
CRSR,2021-03-31,1.0
CRSR,2021-06-30,1.0
CRSR,2021-09-30,1.0
CRSR,2021-12-31,1.0
CSCO,2021-01-23,1.0
CSCO,2021-05-01,1.0
CSCO,2021-07-31,1.0
CSCO,2021-10-30,1.0
CSL,2020-12-31,1.0
CSL,2021-03-31,1.0
CSL,2021-06-30,1.0
CSL,2021-09-30,1.0
CSTM,2020-12-31,1.0
CSTM,2021-03-31,1.0
CSTM,2021-06-30,1.0
CSTM,2021-09-30,1.0
CTAS,2021-02-28,1.0
CTAS,2021-05-31,1.0
CTAS,2021-08-31,1.0
CTAS,2021-11-30,1.0
CTLT,2020-12-31,1.0
CTLT,2021-03-31,1.0
CTLT,2021-06-30,1.0
CTLT,2021-09-30,1.0
CTVA,2020-12-31,1.0
CTVA,2021-03-31,1.0
CTVA,2021-06-30,1.0
CTVA,2021-09-30,1.0
CVE,2020-12-31,1.0
CVE,2021-03-31,1.0
CVE,2021-06-30,1.0
CVE,2021-09-30,1.0
CVX,2021-03-31,1.0
CVX,2021-06-30,1.0
CVX,2021-09-30,1.0
CVX,2021-12-31,1.0
CYH,2020-12-31,1.0
CYH,2021-03-31,1.0
CYH,2021-06-30,1.0
CYH,2021-09-30,1.0
DAR,2021-01-02,1.0
DAR,2021-04-03,1.0
DAR,2021-07-03,1.0
DAR,2021-10-02,1.0
DBD,2020-12-31,1.0
DBD,2021-03-31,1.0
DBD,2021-06-30,1.0
DBD,2021-09-30,1.0
DD,2020-12-31,1.0
DD,2021-03-31,1.0
DD,2021-06-30,1.0
DD,2021-09-30,1.0
DDS,2021-01-30,1.0
DDS,2021-05-01,1.0
DDS,2021-07-31,1.0
DDS,2021-10-30,1.0
DGX,2020-12-31,1.0
DGX,2021-03-31,1.0
DGX,2021-06-30,1.0
DGX,2021-09-30,1.0
