ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector,longitude,latitude
ENDP,2021-09-30,,475701000,-255809000,2748946000.0,,,-47741000,-690317000.0,1548000,772028000,54899000.0,223142000.0,-25296000.0,-217070000.0,-9419453000.0,1568665000.0,15584000.0,563960000,-6704683000.0,3560011000.0,432784000.0,-2840000.0,208068000,,-77207000,26540000.0,-75884000.0,-574000.0,,-77207000,-49289000,,,-6375000.0,,,547086000.0,241918000.0,,8050874000.0,296327000,-27918000.0,-217070000.0,25715000.0,62098000.0,719084000.0,9323000.0,,50456000.0,,-12457000.0,2454355000.0,171557000.0,8946183000.0,208068000,-142994000.0,297302000.0,-473000.0,53961000.0,-9789000.0,276680000.0,,9936869000.0,23000.0,111045000.0,9246552000.0,1554269000.0,1818000.0,-20309000.0,Endo International plc,USD,Healthcare,Drug Manufacturers—Specialty & Generic,,
ENELAM.SN,2020-12-31,24110000.0,1187945000,165464000,6179256000.0,,-25769000.0,641882000,8105859000.0,209615000,3604711000,273575000.0,1815305000.0,-323467000.0,-7072917000.0,5415698000.0,1506993000.0,222062000.0,3128293000,2640357000.0,945512000.0,8577092000.0,-31321000.0,476418000,-90848000.0,338586000,-98313000.0,,-272000.0,,338586000,432267000,54581000.0,158557000.0,-642927000.0,,,3570967000.0,117519000.0,2227804000.0,3982088000.0,2416766000,,-7072917000.0,,841516000.0,1425170000.0,,4836000.0,3929791000.0,,,4519990000.0,433281000.0,,476418000,-143276000.0,471433000.0,148734000.0,0.0,-765096000.0,5249515000.0,2781917000.0,16599895000.0,9763078000.0,3042597000.0,26933558000.0,7277222000.0,994382000.0,-196140000.0,Enel Américas S.A.,CLP,Utilities,Utilities—Regulated Electric,,
ENELAM.SN,2021-03-31,35352000.0,992173000,-98531000,5656739000.0,,-4408000.0,389756000,7562587000.0,101360000,3152374000,-131461000.0,1721214000.0,-402185000.0,-7799469000.0,5598978000.0,1169784000.0,219558000.0,2664087000,2648209000.0,865224000.0,8154556000.0,21483000.0,488287000,-123599000.0,183280000,-337209000.0,,-272000.0,,183280000,288396000,6708000.0,64824000.0,11039000.0,,,3380491000.0,217861000.0,1920776000.0,3916433000.0,2160201000,,-7799197000.0,,278080000.0,1546539000.0,,4500000.0,3950022000.0,,,4049154000.0,421693000.0,,488287000,-33776000.0,479791000.0,-121755000.0,0.0,-91349000.0,5041033000.0,2559861000.0,15752193000.0,9763078000.0,2576372000.0,25235556000.0,6710847000.0,919044000.0,-252476000.0,Enel Américas S.A.,CLP,Utilities,Utilities—Regulated Electric,,
ENELAM.SN,2021-06-30,60164000.0,1334339000,155145000,6855106000.0,,1043384000.0,602905000,13830907000.0,346957000,3392231000,4522000.0,1348112000.0,319875000.0,-7787601000.0,5819009000.0,1434855000.0,233897000.0,2944471000,7124507000.0,1623963000.0,12923195000.0,-75238000.0,447760000,-500836000.0,175066000,265071000.0,,-10000.0,,175066000,255948000,1279000.0,201776000.0,27260000.0,,,4116737000.0,218363000.0,2225412000.0,5692381000.0,2057892000,,-7787329000.0,,420902000.0,1254333000.0,,17286000.0,5489054000.0,,,5082437000.0,534428000.0,,447760000,-154343000.0,555627000.0,73118000.0,0.0,-548824000.0,6370295000.0,3245171000.0,19162607000.0,15799499000.0,3257559000.0,35218926000.0,6980513000.0,968732000.0,-396921000.0,Enel Américas S.A.,CLP,Utilities,Utilities—Regulated Electric,,
ENELAM.SN,2021-09-30,90386000.0,1548068000,-230505000,7588323000.0,,12867000.0,579878000,13265704000.0,211114000,4855393000,172537000.0,1415496000.0,-844803000.0,-8618481000.0,6084686000.0,1461504000.0,253898000.0,4045010000,6997626000.0,1510799000.0,12832459000.0,-88707000.0,810383000,-139188000.0,263781000,26649000.0,,,,263781000,368764000,-22570000.0,297656000.0,481909000.0,,,4796974000.0,184023000.0,2144832000.0,5844991000.0,3307325000,,-8618209000.0,,698957000.0,1316849000.0,,16772000.0,5381425000.0,,,4757279000.0,537320000.0,,810383000,-266190000.0,537780000.0,-81519000.0,0.0,254014000.0,6008248000.0,3196222000.0,19855971000.0,15799499000.0,4005601000.0,35266507000.0,7883376000.0,908889000.0,-502578000.0,Enel Américas S.A.,CLP,Utilities,Utilities—Regulated Electric,,
ENI.MI,2021-03-31,,4539000000,103000000,35961000000.0,,-577000000.0,1761000000,39875000000.0,901000000,14799000000,9000000.0,1536000000.0,-2036000000.0,9620000000.0,26250000000.0,8460000000.0,1702000000.0,13141000000,36758000000.0,,60673000000.0,-10000000.0,1658000000,-849000000.0,856000000,-949000000.0,-1688000000.0,-102000000.0,1985000000.0,856000000,860000000,-489000000.0,285000000.0,-315000000.0,,,13800000000.0,760000000.0,82000000.0,22372000000.0,10260000000,,10201000000.0,,1376000000.0,10721000000.0,-604000000.0,,6699000000.0,,588000000.0,3117000000.0,3129000000.0,,1658000000,-1149000000.0,4414000000.0,36000000.0,513000000.0,-325000000.0,23097000000.0,9184000000.0,75677000000.0,4005000000.0,9565000000.0,115634000000.0,25832000000.0,4123000000.0,-1093000000.0,Eni S.p.A.,EUR,Energy,Oil & Gas Integrated,12.5113,41.8919
ENI.MI,2021-06-30,,4783000000,-1442000000,42488000000.0,,-580000000.0,1196000000,40496000000.0,944000000,16640000000,1426000000.0,2426000000.0,-2097000000.0,9899000000.0,26592000000.0,9713000000.0,1650000000.0,14002000000,37098000000.0,1550000000.0,58608000000.0,5000000.0,2638000000,-849000000.0,247000000,1256000000.0,-228000000.0,-102000000.0,1985000000.0,247000000,252000000,-22000000.0,-115000000.0,-491000000.0,,,14695000000.0,677000000.0,84000000.0,21090000000.0,11857000000,,10480000000.0,,2717000000.0,12435000000.0,-286000000.0,,8068000000.0,,-595000000.0,1848000000.0,7080000000.0,,2638000000,-956000000.0,4593000000.0,-14000000.0,503000000.0,650000000.0,22644000000.0,7427000000.0,79409000000.0,4005000000.0,10098000000.0,119989000000.0,31363000000.0,4409000000.0,-1183000000.0,Eni S.p.A.,EUR,Energy,Oil & Gas Integrated,12.5113,41.8919
ENI.MI,2021-09-30,,5446000000,-87000000,55172000000.0,,-612000000.0,2756000000,40192000000.0,1548000000,19254000000,650000000.0,2466000000.0,-2424000000.0,10993000000.0,25194000000.0,7364000000.0,1837000000.0,16411000000,36468000000.0,,59941000000.0,-4000000.0,2843000000,-1511000000.0,1203000000,-2349000000.0,-1039000000.0,-102000000.0,,1203000000,1208000000,-202000000.0,60000000.0,-1258000000.0,,,15840000000.0,607000000.0,88000000.0,21369000000.0,13808000000,,11686000000.0,,2933000000.0,27346000000.0,-733000000.0,,8670000000.0,,-640000000.0,3724000000.0,19856000000.0,,2843000000,-943000000.0,5648000000.0,17000000.0,1655000000.0,-2875000000.0,24032000000.0,7390000000.0,94617000000.0,4005000000.0,11815000000.0,134897000000.0,44846000000.0,5235000000.0,-1133000000.0,Eni S.p.A.,EUR,Energy,Oil & Gas Integrated,12.5113,41.8919
ENI.MI,2021-12-31,,7460000000,104000000,57856000000.0,,-2622000000.0,5390000000,44741000000.0,1563000000,27075000000,370000000.0,1781000000.0,-5455000000.0,12049000000.0,28687000000.0,8254000000.0,2237000000.0,21789000000,39940000000.0,,60979000000.0,-13000000.0,5286000000,-59000000.0,3822000000,894000000.0,-4929000000.0,-298000000.0,,3822000000,3827000000,-54000000.0,-827000000.0,881000000.0,,,23326000000.0,651000000.0,82000000.0,23714000000.0,19615000000,,13007000000.0,,5825000000.0,21168000000.0,-416000000.0,,6708000000.0,,-337000000.0,4801000000.0,13898000000.0,,5286000000,-1132000000.0,6077000000.0,13000000.0,5078000000.0,511000000.0,21931000000.0,7702000000.0,93223000000.0,4005000000.0,16993000000.0,138046000000.0,43189000000.0,2633000000.0,-1541000000.0,Eni S.p.A.,EUR,Energy,Oil & Gas Integrated,12.5113,41.8919
ENS,2021-01-03,,187012000,-20422000,1684147000.0,,4800000.0,43859000,1527557000.0,5235000,751067000,7619000.0,,-8973000.0,-662965000.0,1643583000.0,488651000.0,23133000.0,686786000,381388000.0,707171000.0,572504000.0,211000.0,64281000,-7459000.0,38624000,74419000.0,-35504000.0,-357000.0,3052000.0,38624000,38624000,,,17778000.0,,,547462000.0,122678000.0,3857000.0,1054191000.0,564055000,,-99303000.0,,54826000.0,400000.0,6989000.0,,72408000.0,,4823000.0,438998000.0,1184000.0,546385000.0,64281000,-9351000.0,515469000.0,15341000.0,8624000.0,13225000.0,238237000.0,,1943814000.0,554000.0,269019000.0,3475228000.0,605632000.0,60844000.0,-13837000.0,EnerSys,USD,Industrials,Electrical Equipment & Parts,-75.9328,40.3886
