ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
ABBN.SW,2018-12-31,8618000000.0,3418000000.0,5970000000.0,2152000000.0,-789000000.0,2924000000.0,72000000.0
ABBN.SW,2019-12-31,10081000000.0,6192000000.0,5967000000.0,1563000000.0,-1383000000.0,2325000000.0,82000000.0
ABBN.SW,2020-12-31,7122000000.0,3810000000.0,6417000000.0,999000000.0,-8175000000.0,1693000000.0,114000000.0
ABBN.SW,2021-12-31,6480000000.0,3127000000.0,6206000000.0,2510000000.0,-4968000000.0,3330000000.0,93000000.0
ABEV3.SA,2018-12-31,2422700000.0,501300000.0,4879300000.0,14340200000.0,-13221600000.0,17911200000.0,102400000.0
ABEV3.SA,2019-12-31,3062800000.0,2610100000.0,4495500000.0,13311900000.0,-12283500000.0,18381300000.0,190800000.0
ABEV3.SA,2020-12-31,4792300000.0,1864500000.0,4303100000.0,14163100000.0,-8602000000.0,18855800000.0,108000000.0
ABEV3.SA,2021-12-31,3131100000.0,-239200000.0,4791600000.0,15224200000.0,-16042000000.0,22901300000.0,301700000.0
ABT,2018-12-31,19566000000.0,5620000000.0,5182000000.0,4906000000.0,-10391000000.0,6300000000.0,
ABT,2019-12-31,18894000000.0,4804000000.0,5425000000.0,4498000000.0,-4289000000.0,6136000000.0,
ABT,2020-12-31,19649000000.0,8534000000.0,6414000000.0,5724000000.0,-2779000000.0,7901000000.0,
ABT,2021-12-31,19006000000.0,11134000000.0,6487000000.0,8648000000.0,-5494000000.0,10533000000.0,
ABX.TO,2018-12-31,5738000000.0,2310000000.0,76000000.0,365000000.0,-925000000.0,1765000000.0,70000000.0
ABX.TO,2019-12-31,5536000000.0,4511000000.0,68000000.0,1132000000.0,-1139000000.0,2833000000.0,41000000.0
ABX.TO,2020-12-31,5364000000.0,5923000000.0,265000000.0,3363000000.0,-2254000000.0,5417000000.0,45000000.0
ABX.TO,2021-12-31,5473000000.0,6163000000.0,242000000.0,1943000000.0,-2388000000.0,4378000000.0,35000000.0
ACA,2018-12-31,185500000.0,432800000.0,291400000.0,73700000.0,338600000.0,118500000.0,10200000.0
ACA,2019-12-31,107300000.0,473200000.0,200000000.0,273400000.0,-108400000.0,358800000.0,8900000.0
ACA,2020-12-31,254500000.0,354600000.0,260200000.0,177800000.0,123700000.0,259900000.0,9600000.0
ACA,2021-12-31,679500000.0,403900000.0,310800000.0,81400000.0,380900000.0,166500000.0,20000000.0
ADI,2018-10-31,6332674000.0,705988000.0,639717000.0,2187485000.0,-2358042000.0,2442361000.0,
ADI,2019-10-31,5491919000.0,476494000.0,635136000.0,1977728000.0,-2126794000.0,2253100000.0,
ADI,2020-10-31,5145102000.0,1152702000.0,737536000.0,1842795000.0,-1420608000.0,2008487000.0,
ADI,2021-10-31,6822451000.0,2608005000.0,1459056000.0,2391393000.0,-3959664000.0,2735069000.0,35714000.0
ADM,2018-12-31,8388000000.0,8812000000.0,2683000000.0,-5626000000.0,187000000.0,-4784000000.0,
ADM,2019-12-31,9096000000.0,7613000000.0,3281000000.0,-6280000000.0,-660000000.0,-5452000000.0,
ADM,2020-12-31,11053000000.0,9104000000.0,3653000000.0,-3209000000.0,-423000000.0,-2386000000.0,
ADM,2021-12-31,10581000000.0,9961000000.0,4490000000.0,5426000000.0,-1118000000.0,6595000000.0,
AGCO,2018-12-31,1459500000.0,770700000.0,880300000.0,392600000.0,-413300000.0,595900000.0,3200000.0
AGCO,2019-12-31,1493800000.0,844600000.0,800500000.0,422500000.0,-313400000.0,695900000.0,4900000.0
AGCO,2020-12-31,1742300000.0,1005600000.0,856000000.0,626600000.0,22700000.0,896500000.0,1900000.0
AGCO,2021-12-31,1619600000.0,1559500000.0,991500000.0,390400000.0,-539500000.0,660200000.0,6300000.0
AGR,2018-12-31,6349000000.0,-1041000000.0,1142000000.0,4000000.0,-230000000.0,1791000000.0,18000000.0
AGR,2019-12-31,8092000000.0,-1562000000.0,1082000000.0,-1147000000.0,1261000000.0,1593000000.0,18000000.0
AGR,2020-12-31,11268000000.0,708000000.0,1187000000.0,-1493000000.0,2853000000.0,1288000000.0,7000000.0
AGR,2021-12-31,8620000000.0,448000000.0,1280000000.0,-1415000000.0,889000000.0,1561000000.0,24000000.0
AIMC,2018-12-31,1708086000.0,366797000.0,259815000.0,78752000.0,986246000.0,116283000.0,0.0
AIMC,2019-12-31,1620000000.0,327600000.0,243200000.0,204200000.0,-177900000.0,255900000.0,300000.0
AIMC,2020-12-31,1467800000.0,387600000.0,240800000.0,228800000.0,-193200000.0,262500000.0,0.0
AIMC,2021-12-31,1464000000.0,751300000.0,224500000.0,176400000.0,-52500000.0,217000000.0,2200000.0
AIR,2018-05-31,177200000.0,609400000.0,202000000.0,42300000.0,10000000.0,64300000.0,
AIR,2019-05-31,141700000.0,595000000.0,197800000.0,50000000.0,-48700000.0,67400000.0,
AIR,2020-05-31,670900000.0,1055600000.0,115600000.0,-59700000.0,444500000.0,-36100000.0,
AIR,2021-05-31,193600000.0,600200000.0,129000000.0,93900000.0,-469500000.0,105200000.0,
ALB,2018-12-31,1705210000.0,815248000.0,605712000.0,-153826000.0,-786526000.0,546165000.0,
ALB,2019-12-31,3188080000.0,816113000.0,612651000.0,-132422000.0,1042687000.0,719374000.0,10356000.0
ALB,2020-12-31,3688823000.0,404335000.0,530838000.0,-51563000.0,177261000.0,798914000.0,0.0
ALB,2021-12-31,2521236000.0,133646000.0,556922000.0,-609410000.0,50212000.0,344257000.0,0.0
ALC,2018-12-31,3566000000.0,119000000.0,1386000000.0,428000000.0,-78000000.0,1140000000.0,
ALC,2019-12-31,3804000000.0,1936000000.0,1512000000.0,244000000.0,659000000.0,920000000.0,0.0
ALC,2020-12-31,4496000000.0,2729000000.0,1468000000.0,256000000.0,466000000.0,823000000.0,6000000.0
ALC,2021-12-31,4479000000.0,2914000000.0,1593000000.0,165000000.0,-123000000.0,1345000000.0,0.0
