,ticker,date,exchange_rate
173,BA,2021-12-31,1.0
174,BABA,2019-03-31,1.0
175,BABA,2020-03-31,1.0
176,BABA,2021-03-31,1.0
177,BAK,2018-12-31,1.0
178,BAK,2019-12-31,1.0
179,BAK,2020-12-31,1.0
180,BAK,2021-12-31,1.0
181,BATS.L,2018-12-31,1.2201139634611995
182,BATS.L,2019-12-31,1.2201139634611995
183,BATS.L,2020-12-31,1.3649155200605096
184,BATS.L,2021-12-31,1.347884038653782
185,BAX,2018-12-31,1.0
186,BAX,2019-12-31,1.0
187,BAX,2020-12-31,1.0
188,BAX,2021-12-31,1.0
189,BBWI,2019-01-31,1.0
190,BBWI,2020-01-31,1.0
191,BBWI,2021-01-31,1.0
192,BBWI,2022-01-31,1.0
193,BBY,2019-01-31,1.0
194,BBY,2020-01-31,1.0
195,BBY,2021-01-31,1.0
196,BBY,2022-01-31,1.0
197,BC,2018-12-31,1.0
198,BC,2019-12-31,1.0
199,BC,2020-12-31,1.0
200,BC,2021-12-31,1.0
201,BCC,2018-12-31,1.0
202,BCC,2019-12-31,1.0
203,BCC,2020-12-31,1.0
204,BCC,2021-12-31,1.0
205,BDX,2018-09-30,1.0
206,BDX,2019-09-30,1.0
207,BDX,2020-09-30,1.0
208,BDX,2021-09-30,1.0
209,BECN,2018-09-30,1.0
210,BECN,2019-09-30,1.0
211,BECN,2020-09-30,1.0
212,BECN,2021-09-30,1.0
213,BECN,2021-12-31,1.0
214,BF-B,2019-04-30,1.0
215,BF-B,2020-04-30,1.0
216,BF-B,2021-04-30,1.0
217,BIIB,2018-12-31,1.0
218,BIIB,2019-12-31,1.0
219,BIIB,2020-12-31,1.0
220,BIIB,2021-12-31,1.0
221,BIO,2018-12-31,1.0
222,BIO,2019-12-31,1.0
223,BIO,2020-12-31,1.0
224,BIO,2021-12-31,1.0
225,BKR,2018-12-31,1.0
226,BKR,2019-12-31,1.0
227,BKR,2020-12-31,1.0
228,BKR,2021-12-31,1.0
229,BLD,2018-12-31,1.0
230,BLD,2019-12-31,1.0
231,BLD,2020-12-31,1.0
232,BLD,2021-12-31,1.0
233,BP,2018-12-31,1.0
234,BP,2019-12-31,1.0
235,BP,2020-12-31,1.0
236,BP,2021-12-31,1.0
237,BRBR,2018-09-30,1.0
238,BRBR,2019-09-30,1.0
239,BRBR,2020-09-30,1.0
240,BRBR,2021-09-30,1.0
241,BRK-A,2018-12-31,1.0
242,BRK-A,2019-12-31,1.0
243,BRK-A,2020-12-31,1.0
244,BRK-A,2021-12-31,1.0
245,BSX,2018-12-31,1.0
246,BSX,2019-12-31,1.0
247,BSX,2020-12-31,1.0
248,BSX,2021-12-31,1.0
249,BWA,2018-12-31,1.0
250,BWA,2019-12-31,1.0
251,BWA,2020-12-31,1.0
252,BWA,2021-12-31,1.0
253,CCO,2018-12-31,1.0
254,CCO,2019-12-31,1.0
255,CCO,2020-12-31,1.0
256,CCO,2021-12-31,1.0
257,CCS,2018-12-31,1.0
258,CCS,2019-12-31,1.0
259,CCS,2020-12-31,1.0
260,CCS,2021-12-31,1.0
