ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector,longitude,latitude
HZNP,2021-09-30,,794264000.0,-33214000.0,2413921000.0,,,307241000.0,4450214000.0,-19302000.0,1036992000.0,-73057000.0,16000000.0,-142104000.0,-6117000.0,145423000.0,1068547000.0,4112000.0,696537000.0,-549952000.0,1069031000.0,362237000.0,,340455000.0,,326543000.0,256228000.0,-39762000.0,-16429000.0,12174000.0,326543000.0,326543000.0,-2219000.0,,-4000000.0,,,775371000.0,360260000.0,,2557864000.0,242728000.0,,-1532000.0,93549000.0,411040000.0,98117000.0,21219000.0,,811664000.0,,82783000.0,3931135000.0,106651000.0,4310886000.0,340455000.0,-22977000.0,406281000.0,-4453000.0,-2666000.0,-8255000.0,651767000.0,20700000.0,4158474000.0,22000.0,50724000.0,8608688000.0,854043000.0,782852000.0,-27440000.0,Horizon Therapeutics Public Limited Company,USD,Healthcare,Drug Manufacturers—General,,
HZNP,2021-12-31,,783613000.0,-37252000.0,2799767000.0,,,211055000.0,4672393000.0,37873000.0,1014464000.0,125743000.0,16000000.0,-36844000.0,-19572000.0,318605000.0,1580317000.0,5518000.0,766157000.0,-234434000.0,1066709000.0,367998000.0,,248307000.0,,173182000.0,511770000.0,142572000.0,-7887000.0,21599000.0,173182000.0,173182000.0,-14871000.0,,-4000000.0,,,632775000.0,394392000.0,,2555233000.0,230851000.0,,-14987000.0,140914000.0,538557000.0,71667000.0,11761000.0,,555436000.0,,7152000.0,3840118000.0,132921000.0,4373337000.0,248307000.0,-22045000.0,385833000.0,345000.0,-19837000.0,9712000.0,469731000.0,47700000.0,4005335000.0,23000.0,30125000.0,8677728000.0,886571000.0,538098000.0,-16901000.0,Horizon Therapeutics Public Limited Company,USD,Healthcare,Drug Manufacturers—General,,
ICL,2020-12-31,219000000.0,405000000.0,-125000000.0,2841000000.0,,10000000.0,94000000.0,3930000000.0,24000000.0,1317000000.0,166000000.0,361000000.0,-163000000.0,-572000000.0,3752000000.0,214000000.0,32000000.0,1098000000.0,3260000000.0,320000000.0,5550000000.0,27000000.0,219000000.0,-30000000.0,65000000.0,-2000000.0,-47000000.0,,,65000000.0,70000000.0,,-130000000.0,-96000000.0,,,1108000000.0,299000000.0,158000000.0,1833000000.0,912000000.0,,-312000000.0,17000000.0,258000000.0,243000000.0,2000000.0,,378000000.0,,-39000000.0,350000000.0,,204000000.0,219000000.0,-28000000.0,1250000000.0,2000000.0,72000000.0,-99000000.0,1305000000.0,225000000.0,5576000000.0,546000000.0,740000000.0,9664000000.0,2177000000.0,127000000.0,-183000000.0,ICL Group Ltd,USD,Basic Materials,Agricultural Inputs,,
ICL,2021-03-31,99000000.0,495000000.0,-20000000.0,2988000000.0,,8000000.0,165000000.0,4000000000.0,23000000.0,1510000000.0,53000000.0,,-203000000.0,-614000000.0,3861000000.0,157000000.0,117000000.0,1325000000.0,3291000000.0,,5531000000.0,14000000.0,185000000.0,-34000000.0,135000000.0,-57000000.0,-147000000.0,,,135000000.0,142000000.0,,4000000.0,-42000000.0,,,1537000000.0,291000000.0,164000000.0,2121000000.0,1015000000.0,,-354000000.0,15000000.0,206000000.0,789000000.0,30000000.0,,492000000.0,,-21000000.0,709000000.0,,207000000.0,185000000.0,-60000000.0,1195000000.0,2000000.0,39000000.0,-62000000.0,1277000000.0,,5556000000.0,546000000.0,752000000.0,9720000000.0,2158000000.0,136000000.0,-147000000.0,ICL Group Ltd,USD,Basic Materials,Agricultural Inputs,,
ICL,2021-06-30,272000000.0,570000000.0,-29000000.0,3238000000.0,,93000000.0,214000000.0,4201000000.0,64000000.0,1617000000.0,20000000.0,,-58000000.0,-504000000.0,3941000000.0,318000000.0,124000000.0,1374000000.0,3476000000.0,,5601000000.0,-32000000.0,243000000.0,-67000000.0,140000000.0,161000000.0,-27000000.0,,,140000000.0,150000000.0,,13000000.0,68000000.0,,,1097000000.0,313000000.0,178000000.0,2212000000.0,1047000000.0,,-244000000.0,14000000.0,242000000.0,714000000.0,-3000000.0,,516000000.0,,-48000000.0,725000000.0,,217000000.0,243000000.0,-64000000.0,1207000000.0,8000000.0,36000000.0,-31000000.0,1344000000.0,,5701000000.0,547000000.0,801000000.0,10080000000.0,2145000000.0,143000000.0,-151000000.0,ICL Group Ltd,USD,Basic Materials,Agricultural Inputs,,
ICL,2021-09-30,191000000.0,689000000.0,-16000000.0,3461000000.0,,110000000.0,287000000.0,4328000000.0,45000000.0,1790000000.0,-10000000.0,,-296000000.0,-544000000.0,4106000000.0,301000000.0,123000000.0,1487000000.0,3401000000.0,,5632000000.0,,303000000.0,-68000000.0,225000000.0,-17000000.0,-34000000.0,,,225000000.0,242000000.0,,13000000.0,70000000.0,,,1210000000.0,357000000.0,194000000.0,2426000000.0,1101000000.0,,-284000000.0,16000000.0,273000000.0,796000000.0,-139000000.0,,552000000.0,,75000000.0,927000000.0,,219000000.0,303000000.0,,1409000000.0,4000000.0,33000000.0,2000000.0,1346000000.0,,6050000000.0,547000000.0,885000000.0,10572000000.0,2278000000.0,157000000.0,-128000000.0,ICL Group Ltd,USD,Basic Materials,Agricultural Inputs,,
ICUI,2020-12-31,16040000.0,119874000.0,-4416000.0,920777000.0,,,30109000.0,1502265000.0,3967000.0,320451000.0,15271000.0,,-40903000.0,-1561000.0,808652000.0,396097000.0,23951000.0,285926000.0,1272033000.0,33001000.0,516114000.0,,34525000.0,,26142000.0,45104000.0,39116000.0,-55000.0,4607000.0,26142000.0,26142000.0,-15222000.0,,-126000.0,,,127769000.0,73552000.0,,,200577000.0,,-1522000.0,11797000.0,78526000.0,36617000.0,10337000.0,,83594000.0,,-10686000.0,197231000.0,44801000.0,693068000.0,34525000.0,-108000.0,314928000.0,3055000.0,-8383000.0,4426000.0,22531000.0,12974000.0,261426000.0,2106000.0,71864000.0,1763691000.0,195488000.0,31034000.0,-29643000.0,"ICU Medical, Inc.",USD,Healthcare,Medical Instruments & Supplies,-117.6375,33.4615
ICUI,2021-03-31,13036000.0,112680000.0,-2488000.0,928182000.0,,,27092000.0,1520768000.0,3361000.0,318046000.0,8596000.0,,-18881000.0,-15323000.0,832383000.0,424249000.0,24527000.0,288466000.0,1294742000.0,32952000.0,507208000.0,,29580000.0,,23731000.0,28152000.0,1506000.0,-7723000.0,4864000.0,23731000.0,23731000.0,-3034000.0,,-141000.0,,,124039000.0,72391000.0,,,205366000.0,,-9913000.0,10709000.0,51320000.0,39564000.0,13208000.0,,84980000.0,,-24170000.0,193074000.0,46049000.0,701586000.0,29580000.0,-192000.0,300086000.0,-1287000.0,2411000.0,-3000000.0,22682000.0,18834000.0,244462000.0,2122000.0,73049000.0,1765230000.0,179862000.0,29115000.0,-14028000.0,"ICU Medical, Inc.",USD,Healthcare,Medical Instruments & Supplies,-117.6375,33.4615
ICUI,2021-06-30,16010000.0,123529000.0,-3391000.0,973354000.0,,,34832000.0,1557265000.0,6434000.0,321677000.0,12227000.0,,-17779000.0,-11220000.0,860781000.0,462037000.0,24572000.0,283454000.0,1334718000.0,32927000.0,504961000.0,,38223000.0,,28398000.0,37788000.0,572000.0,-96000.0,552000.0,28398000.0,28398000.0,1750000.0,,-155000.0,,,124301000.0,73921000.0,,,198148000.0,,-8951000.0,11385000.0,54762000.0,37380000.0,160000.0,,86310000.0,,229000.0,189620000.0,50592000.0,705582000.0,38223000.0,-195000.0,299610000.0,504000.0,-4059000.0,301000.0,21993000.0,15670000.0,245577000.0,2122000.0,69782000.0,1802842000.0,183664000.0,31120000.0,-15665000.0,"ICU Medical, Inc.",USD,Healthcare,Medical Instruments & Supplies,-117.6375,33.4615
ICUI,2021-09-30,19326000.0,127791000.0,-2813000.0,1011237000.0,,,37925000.0,1589972000.0,6844000.0,336060000.0,24388000.0,,-21086000.0,-15166000.0,891862000.0,519485000.0,17465000.0,295322000.0,1364434000.0,32760000.0,501710000.0,,40738000.0,,31081000.0,57448000.0,1729000.0,-290000.0,1550000.0,31081000.0,31081000.0,1750000.0,,-152000.0,,,118605000.0,74815000.0,,,208269000.0,,-15118000.0,12238000.0,78835000.0,35645000.0,3142000.0,,90444000.0,,5588000.0,192778000.0,44077000.0,711152000.0,40738000.0,-197000.0,291601000.0,-1409000.0,-8726000.0,1108000.0,26702000.0,10422000.0,249379000.0,2124000.0,62008000.0,1839351000.0,185077000.0,35585000.0,-16771000.0,"ICU Medical, Inc.",USD,Healthcare,Medical Instruments & Supplies,-117.6375,33.4615
IEP,2020-12-31,,876000000.0,-196000000.0,9595000000.0,,-5000000.0,376000000.0,4235000000.0,2000000.0,2771000000.0,-3849000000.0,,-30000000.0,,,1699000000.0,131000000.0,2199000000.0,3277000000.0,298000000.0,4780000000.0,-3000000.0,572000000.0,-23000000.0,143000000.0,-1258000000.0,28000000.0,,39000000.0,143000000.0,374000000.0,23000000.0,1000000.0,-98000000.0,,,3939000000.0,303000000.0,5022000000.0,7978000000.0,1895000000.0,,,,-1140000000.0,4992000000.0,147000000.0,,741000000.0,,2422000000.0,660000000.0,2377000000.0,,572000000.0,-171000000.0,1580000000.0,-3000000.0,-162000000.0,-85000000.0,722000000.0,8913000000.0,15730000000.0,4235000000.0,738000000.0,24987000000.0,6578000000.0,7000000.0,-44000000.0,Icahn Enterprises L.P.,USD,Industrials,Conglomerates,-80.1391,25.9449
IEP,2021-03-31,,1131000000.0,-199000000.0,10296000000.0,,1000000.0,616000000.0,4086000000.0,17000000.0,3388000000.0,-963000000.0,,116000000.0,,,1942000000.0,126000000.0,2573000000.0,3149000000.0,294000000.0,4771000000.0,35000000.0,815000000.0,-56000000.0,159000000.0,-215000000.0,,,182000000.0,159000000.0,599000000.0,182000000.0,,-3000000.0,,,4806000000.0,316000000.0,5496000000.0,7974000000.0,2257000000.0,,,,-551000000.0,7298000000.0,,,813000000.0,,126000000.0,643000000.0,1989000000.0,,815000000.0,-195000000.0,1559000000.0,6000000.0,0.0,214000000.0,589000000.0,11480000000.0,18715000000.0,4086000000.0,851000000.0,28297000000.0,9513000000.0,,-47000000.0,Icahn Enterprises L.P.,USD,Industrials,Conglomerates,-80.1391,25.9449
IEP,2021-06-30,,475000000.0,-174000000.0,10668000000.0,,-3000000.0,-3000000.0,4581000000.0,59000000.0,2999000000.0,50000000.0,,130000000.0,,,2194000000.0,132000000.0,2828000000.0,3657000000.0,294000000.0,4753000000.0,-71000000.0,171000000.0,-56000000.0,-134000000.0,387000000.0,,,191000000.0,-134000000.0,-62000000.0,210000000.0,,6000000.0,,,4954000000.0,304000000.0,5444000000.0,7984000000.0,2524000000.0,,,,187000000.0,6998000000.0,,,653000000.0,,139000000.0,630000000.0,1952000000.0,,171000000.0,-158000000.0,1568000000.0,-1000000.0,0.0,70000000.0,634000000.0,10903000000.0,17876000000.0,4581000000.0,858000000.0,27901000000.0,8644000000.0,,-111000000.0,Icahn Enterprises L.P.,USD,Industrials,Conglomerates,-80.1391,25.9449
IEP,2021-09-30,,269000000.0,-182000000.0,11825000000.0,,-1000000.0,-230000000.0,4616000000.0,-19000000.0,2669000000.0,547000000.0,,-26000000.0,,,1945000000.0,123000000.0,2717000000.0,3709000000.0,294000000.0,4696000000.0,4000000.0,-48000000.0,-36000000.0,-145000000.0,229000000.0,,,213000000.0,-145000000.0,-211000000.0,30000000.0,,-355000000.0,,,5747000000.0,317000000.0,5391000000.0,7633000000.0,2400000000.0,,,,430000000.0,7058000000.0,,,648000000.0,,-98000000.0,613000000.0,2543000000.0,,-48000000.0,-158000000.0,1590000000.0,-1000000.0,0.0,-174000000.0,626000000.0,9897000000.0,17966000000.0,4616000000.0,829000000.0,27973000000.0,9113000000.0,,-81000000.0,Icahn Enterprises L.P.,USD,Industrials,Conglomerates,-80.1391,25.9449
IEX,2020-12-31,,269168000.0,-15362000.0,1657231000.0,,52000.0,129871000.0,2540203000.0,28803000.0,614822000.0,1350000.0,88000.0,-16972000.0,-1077397000.0,2841546000.0,1025851000.0,21521000.0,469589000.0,229066000.0,1895574000.0,404859000.0,-8000.0,145233000.0,-37590000.0,101068000.0,148093000.0,-12418000.0,-10000.0,15858000.0,101068000.0,101068000.0,,,-44000.0,,,293146000.0,123935000.0,123000.0,1044354000.0,345654000.0,,-13525000.0,,161374000.0,91238000.0,18603000.0,,41171000.0,,-22280000.0,415563000.0,48324000.0,775153000.0,145233000.0,-10788000.0,289910000.0,25485000.0,53165000.0,-21794000.0,336410000.0,,1874072000.0,901000.0,151993000.0,4414398000.0,399058000.0,2424000.0,-12107000.0,IDEX Corporation,USD,Industrials,Specialty Industrial Machinery,-87.8465,42.1254
IEX,2021-03-31,,293287000.0,-13872000.0,1651144000.0,,1100000.0,145619000.0,2609926000.0,32947000.0,652036000.0,5645000.0,46000.0,-119534000.0,-1126656000.0,2954254000.0,958142000.0,21544000.0,492545000.0,239621000.0,1928665000.0,407295000.0,-46000.0,159491000.0,-38149000.0,112708000.0,-67709000.0,-46289000.0,-5460000.0,3231000.0,112708000.0,112672000.0,,,149380000.0,,,341793000.0,133796000.0,89000.0,1044589000.0,358749000.0,,-60555000.0,,109324000.0,61773000.0,-7539000.0,,31987000.0,,-8242000.0,441640000.0,46573000.0,781427000.0,159491000.0,-10776000.0,304636000.0,-17075000.0,31131000.0,-40424000.0,336531000.0,,1850716000.0,901000.0,171379000.0,4460731000.0,377513000.0,,-14609000.0,IDEX Corporation,USD,Industrials,Specialty Industrial Machinery,-87.8465,42.1254
IEX,2021-06-30,,307894000.0,-23629000.0,1493689000.0,,-4395000.0,129876000.0,2672796000.0,27697000.0,685947000.0,5874000.0,41000.0,-489718000.0,-1087942000.0,2974163000.0,714380000.0,24449000.0,532442000.0,-164360000.0,2210570000.0,418022000.0,-11284000.0,153505000.0,-41093000.0,102195000.0,-243762000.0,32000.0,-74000.0,7456000.0,102195000.0,102179000.0,,,149380000.0,,,356469000.0,154389000.0,68000.0,1189828000.0,378053000.0,,-29223000.0,,136272000.0,108417000.0,-13397000.0,,34130000.0,,9584000.0,626586000.0,62761000.0,785674000.0,153505000.0,-11205000.0,360079000.0,5299000.0,6940000.0,104385000.0,377996000.0,,2110133000.0,901000.0,178796000.0,4782997000.0,450359000.0,,-15984000.0,IDEX Corporation,USD,Industrials,Specialty Industrial Machinery,-87.8465,42.1254
