ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector,longitude,latitude,date2,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
4502.T,2020-03-31,145791280.067283,20285213682.085728,-3308942361.648434,22754497049.621464,,-11573369.217830077,-559815663.5828412,43524373211.10164,-967924359.9663556,30326539720.773678,-694125719.0916717,5361003925.98821,2691720575.273331,47002990.74852804,12623560329.688778,5875272484.44069,5076046566.862895,27577413022.70808,-31885793217.830017,36973302580.31949,12774659142.136211,-1223717934.398651,2749126698.065593,-2603842213.6248875,407657187.552564,-594139549.2010076,-320902990.7485272,-34434459.20941958,,407657187.552564,408108696.3835144,385634613.9613109,363096030.2775431,-5400506341.463399,,,7232627818.334714,8885214640.874659,36885507.148864485,41524870960.47086,10041326038.687944,,852927825.0630758,4534328114.381821,6171406990.74851,12313935845.248072,1266915350.7148829,,3795880814.12951,,409656726.66105855,38436863848.61217,2501506354.920093,15482947327.165642,2749126698.065593,-1373047569.3860347,6999299111.858685,-200562065.6013451,-275807394.4491161,-9262500948.696358,9977866011.774572,3404330513.036155,74578275229.60449,15370862563.498692,1950029783.010928,118139533947.855,20049738005.0462,2838995384.356594,-1170992760.302772,Takeda Pharmaceutical Company Limited,JPY,Healthcare,Drug Manufacturers—Specialty & Generic,139.777,35.6699,2020,46932076218.67102,2704759044.5752654,6589808245.584506,4165325611.4381714,-9262500948.696358,6171406990.74851,115899552.5651805
4502.T,2021-03-31,,19888934012.00812,-517990300.97759485,24485159283.349773,,-79884516.20352474,3305446366.7153864,46689137729.966446,-89677161.11153789,28861785620.81413,-2150879993.84187,199318682.16457355,3551796820.8759565,2766868947.733019,13627625163.57465,8720616542.221453,4795462724.193625,25038348953.121147,-25000450966.053177,36408033888.84577,13122297609.883638,-1284795011.9313245,3823436667.692981,-2557432703.4100285,3393625298.283394,2965844661.6888328,-84081364.02124466,-19323550.91986741,,3393625298.283394,3395123527.8269243,559651912.8627456,392680548.0717382,-5961365098.914576,,,7335133284.581562,7901933376.953198,37365483.79647412,41636503002.07796,8972851608.80601,,3304354283.7348614,4113497517.512084,9124136690.78584,13256001058.424934,234463898.0832861,,6227508428.912263,,2349196847.817697,35281554807.17385,1625272188.4381337,15238835655.453629,3823436667.692981,-1180586829.3433802,6804137268.108624,112827515.20283164,330513047.494416,-9822916365.175797,8686996632.283804,1015077592.1791912,69813128396.58157,15055807963.205149,2094858844.584692,116539631610.3445,16003763066.738356,3192934743.283781,-1003687437.456691,Takeda Pharmaceutical Company Limited,JPY,Healthcare,Drug Manufacturers—Specialty & Generic,139.777,35.6699,2021,41836444442.30581,8481396216.611418,7114640828.265654,6989899680.548004,-9822916365.175797,9124136690.78584,419260584.250631
6758.T,2019-03-31,,21682863893.12961,1464431920.4499688,47364954455.6043,,-278243419.0437906,9132876882.281973,33821249975.89368,407132205.7050994,78231412973.08096,-4186181763.7605143,1561308404.9819086,-11803249959.823132,-6458197581.357926,20949605231.016315,8670928348.734365,3375826355.966226,70562968011.24896,18595834363.19793,6873048489.353102,7015018445.158646,1622290666.9344995,7668444961.832004,-343658292.48694,8271839843.310504,-1075436408.1960545,10327713.941341829,-904370104.4596156,,8271839843.310504,8725744676.576872,-6656753298.513409,2112486.942547192,-1483624857.3724277,,,11640543326.637115,14014418931.297604,6311406822.016827,4579691137.002778,56548549079.95136,,-5512958979.509802,,11363536705.504131,7051643913.218106,274939272.8003193,,16068938871.03242,,1062355239.05182,7899238674.166272,84698087.58537501,11436986251.506542,7668444961.832004,-112548609.8834865,5897612157.492925,473639433.5074291,167319799.11610964,-1109362587.384483,7184161844.114048,98335815789.47296,149283268240.256,7892856074.728747,19727125287.263813,189415925038.1665,54886879489.75451,1796092370.429878,-2822463109.6825824,Sony Group Corporation,JPY,Technology,Consumer Electronics,139.7333,35.65,2019,12272745668.943258,-7521925034.150205,9621764138.208044,8541073595.82155,-1109362587.384483,11363536705.504131,158752490.9602238
6758.T,2020-03-31,193503784.6930188,21529240299.41121,-484100396.9722442,52846298250.63063,,-135719868.79730827,7366504793.94447,38012491619.8485,1632711219.5121903,76110428982.33788,1645261322.1194234,193043061.39613065,-12460519569.386003,-7495811394.449096,25513529298.570152,8867246432.296022,3777617742.640864,68259823791.421165,22438219720.773697,7123279751.051283,11990360659.377594,1858732854.4995744,7850605190.916715,-456797934.398653,5364579138.772062,382234476.0302765,577323148.8645904,-1844837439.865428,,5364579138.772062,5733793574.43228,-8563574492.85111,2156185.029436495,1047905924.3061366,,,10974668507.989876,13676478923.465055,6192084252.31285,5735267888.982322,54581188682.926674,,-5353420420.521431,,12437179327.16565,7892374365.012593,371481194.2809073,,17476893254.835945,,-39741991.58957096,7891627993.271634,375314412.1110166,11884071794.7855,7850605190.916715,-102188427.24978945,5436249254.835981,-199428686.29100028,-842524693.0193416,605003404.5416299,10246209688.8141,108774927502.1023,168090665429.77243,8110701920.941945,18530355502.102554,212295241301.93375,57502349460.0503,1842957688.8141243,-4052162755.2565055,Sony Group Corporation,JPY,Technology,Consumer Electronics,139.7333,35.65,2020,17127176629.100037,-4656051209.419667,9241372178.301067,8385016571.909143,605003404.5416299,12437179327.16565,172844952.0605546
6758.T,2021-03-31,189535062.73573828,21930343968.901333,1933203487.029463,65152623662.534966,,-211927276.57608908,10761710607.34344,50324618793.77982,8980351.782002838,81223536294.35684,-9107791547.994677,1128284177.5074942,-16079035563.081978,-5850748826.110327,34812645061.96564,11640738126.395084,3459114175.1981807,72395029174.04286,33867072684.935394,7367634035.101152,12297468093.295238,580897890.8475041,8828507120.313978,-553153567.8546633,10575839889.153929,2457358190.285558,-340973577.8615932,-3303325.3791085817,,10575839889.153929,10752730255.561438,-11415155299.822844,-67212743.43776396,5995255773.227561,,,12215020341.005192,13169049592.02512,485715187.437452,6713855399.892168,59293192325.45551,,-4729531598.799123,,12185750712.031288,13128191247.786802,-514515491.4941063,,24963636036.48656,,4356887614.502305,8513156877.838421,129623931.9528892,13418369428.835217,8828507120.313978,-109975463.78261767,5752759198.675951,330946270.4949548,1912851031.483316,6019696770.841293,7818420618.120161,113046662862.75005,187054725675.46585,7944353129.089293,19760402163.035755,237865059656.68307,70537946578.39975,1858923793.3954096,-4623202428.604374,Sony Group Corporation,JPY,Technology,Consumer Electronics,139.7333,35.65,2021,22170927141.86723,-5385322915.864778,,7562548283.426914,6019696770.841293,12185750712.031288,142810157.03178984
7267.T,2019-03-31,1473992278.023291,30371585881.880043,1669343153.8770463,66329327513.05695,,23914435.516271416,8841525210.928017,74638677541.18063,2736203226.1952386,143438016870.22794,285591984.7328223,15483969570.10836,-5214005966.251468,330017404.5801502,71983777979.10753,22516230964.242496,5900546167.135351,136265834813.17696,73442134242.66719,,26919222498.995377,-603701824.0257086,7172182057.05097,-1753824576.134981,5509763165.930051,2145284656.4885333,84355034.15026051,-582793619.9276774,1390269.1844113998,5509763165.930051,6105321984.732779,61731562.87665682,,3147271518.682178,,,7161195319.40533,15914889823.222055,2690893089.5941944,37395875797.50876,113066430988.34789,,1935390120.530319,7284514001.607017,7005403921.253463,10211797991.161032,-549842434.7127318,5523404053.836841,8348774089.995919,,-4118338433.1056337,1196543298.51345,3234036954.600217,1547893210.1245365,7172182057.05097,-119319401.36600956,14325071872.237738,146935202.8927269,-106671562.87665647,206951498.5938112,15054286114.905472,10203023045.39968,107008585793.49055,776988947.3684152,10696785271.193169,184338156424.26535,53995924580.15227,1357029112.0932,-3798576520.691012,"Honda Motor Co., Ltd.",JPY,Consumer Cyclical,Auto Manufacturers,139.7333,35.65,2019,66183313137.80585,12333402932.904688,7161195319.40533,1518291309.7629457,206951498.5938112,7005403921.253463,187460646.84612152
7267.T,2020-03-31,1751236894.8696334,28374565685.449875,1440045951.2195082,67274907956.26558,,-12937110.17661897,7278672504.625715,73828687640.03343,2579921460.050455,137581273846.9298,-6777488487.804858,16805250832.632416,-5708186573.591237,-3580547959.629931,75032916978.97371,24624305692.17823,12438377207.737558,131742647293.5236,72600933769.55405,,28119822560.134487,-539230546.677879,5838626553.406207,-1813360824.2220304,4199455993.2716446,1642312693.019339,1222778058.872999,-885629964.676196,1419027.754415471,4199455993.2716446,4698751044.57526,-289426375.10512954,,2432775653.490321,,,5841132888.141278,15126375138.772034,2522589052.985695,38896370835.99652,109206708161.47992,,-1056337160.6391896,7409563993.271636,9024786156.433952,9932825702.270788,-552232158.1160623,5779239320.4373255,8932871858.70477,,-1769159031.118582,1227753870.4793909,3370365991.589561,1583257180.8242176,5838626553.406207,-227495949.53742576,14379800679.562616,-868841207.7375921,-1300704797.308659,-805445682.0857841,17411387616.48439,10110102812.447409,112190195586.20656,793061439.8654308,8831779952.901573,188541472279.2257,53352568652.64913,1221405103.4482725,-3411149217.8301,"Honda Motor Co., Ltd.",JPY,Consumer Cyclical,Auto Manufacturers,139.7333,35.65,2020,68829167212.78366,13922339303.616444,5841132888.141278,3484514795.626567,-805445682.0857841,9024786156.433952,162524750.21026027
7267.T,2021-03-31,2665287179.585841,24647049303.36363,2291072761.9120708,68404928007.85092,,,8249766318.98999,81972163690.24629,1973050977.5998576,118870244996.53493,-7571997960.126167,15399967535.21654,-7192232872.757994,-695647833.1152269,80338190939.88068,24892452082.21052,11478252424.75549,112911551439.457,80642169078.59209,,27270611692.71007,-381868024.0166232,5958693557.077919,-1309506773.9203937,5933575648.525845,773185724.7324996,-1207500808.251855,,1389923.793395414,5933575648.525845,6276715341.390132,-2299186667.692996,,-873070702.7942337,,,7236755561.542536,12019483334.616156,2622199541.9905834,42558392521.74541,94223195693.17128,,1775402009.0831945,6668872411.669553,9678734335.308966,10339706277.422731,616268743.7456641,6059733796.474423,10051838619.043856,,-2058567392.8103871,1329994611.6542091,3463040258.6405635,1552824667.0771923,5958693557.077919,-125246574.55161144,13949780617.350338,849739839.1193821,914290066.1996678,-2563055576.9378552,16796389673.620035,13714531502.578575,113253436590.71556,776795916.4036565,9820271899.776672,197847799822.9524,51584738145.63879,898504503.1175342,-2873802825.032687,"Honda Motor Co., Ltd.",JPY,Consumer Cyclical,Auto Manufacturers,139.7333,35.65,2021,69685589350.31877,16820189862.212135,7236755561.542536,4704458817.642938,-2563055576.9378552,9678734335.308966,61102494.03433087
7751.T,2018-12-31,8697814.85895904,16700113865.713078,29623520.06356761,18652818792.21287,,-1901509.7338100832,3297090504.568917,25725898212.15722,873375248.3114781,35955247238.77617,199885975.36750013,24019070.32181157,-1779731227.651959,-12078435319.825136,32535140882.002243,4736897298.371057,2288671672.6261325,32687780254.270817,13902583631.30705,8265753635.28006,9925989988.081003,-395732379.817241,3267466984.505349,-1519607079.7775064,2296741716.3289533,-1830262256.65474,-161255303.93325317,-191060.7866507739,,2296741716.3289533,2423715256.2574387,-2683949.1458084905,,-1211452761.2236738,,,7054519229.24113,10559074453.714691,1731474731.823592,3293178307.508925,19255133373.063087,,-2448043663.0909705,2873572427.493035,3323484187.5248165,3046227691.6964507,-561855184.7437401,,3786679221.295177,,-133715256.25744876,3557560945.570108,28595431.068732493,3679184783.472372,3267466984.505349,-7251211.760031752,5561515653.555797,-145724791.41835454,-283970917.759236,-3228290425.109243,4457502741.358741,387180135.0814445,17118609773.539854,1590007866.5077405,3206991696.4640307,44575982717.52067,9367928724.672188,1460623321.4143758,-1741373500.1986415,Canon Inc.,JPY,Technology,Computer Hardware,139.7161,35.5613,2018,3643702065.951514,9284890067.540684,5576727731.426277,1582110687.3261752,-3228290425.109243,3323484187.5248165,87651410.40921694
7751.T,2019-12-31,16278889.617844796,14832795409.217606,79846709.85730664,17006372650.483795,,6338356.568804312,1801023751.0250893,24740743040.839687,517257802.1978007,33104084767.918552,-50273854.35460048,11368505.82253564,-2105734715.4338136,-13053863778.90762,32453260841.39732,3803142919.46858,2186428996.227647,31382907726.75077,13256322680.006523,8279118971.625366,11092943928.16136,-67492442.1846808,1721177041.1677823,-1579863012.9571877,1151259288.1745088,-993417626.7016536,400790500.2460215,-460746931.2776762,,1151259288.1745088,1283765948.8272884,-51499147.12153503,,-34685919.30457592,,,6610233372.150219,10361591549.942566,1828579019.18976,3292076070.1984487,18271289358.700947,,-2841592117.434796,2750026818.107258,3302403537.805469,2507916337.543047,183287215.0237817,,3933106867.311781,,-36703506.64261101,3205301389.207798,3233667.377398712,3731311282.5979886,1721177041.1677823,-9562811.218632087,5387197723.470544,-47298143.34918799,-327134743.3163842,-2142788305.7241209,4375188812.530741,445536718.0580601,17393058464.818714,1610034695.7520046,2812756280.1377645,43962380524.84816,8954798837.13299,1451142783.336063,-1986918167.9514456,Canon Inc.,JPY,Technology,Computer Hardware,139.7161,35.5613,2019,4744057211.743467,8157566244.05443,5157616552.402806,1315485369.8540227,-2142788305.7241209,3302403537.805469,8153263.900278802
