ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector
CNR,2021-12-31,,318122000.0,-66966000.0,1987080000.0,,,28694000.0,1176339000.0,-9358000.0,1471579000.0,4287000.0,26000000.0,-236263000.0,-6036000.0,-98826000.0,394447000.0,75945000.0,1375919000.0,-1706352000.0,1358056000.0,934903000.0,-8364000.0,95660000.0,,38052000.0,-282740000.0,-18642000.0,,,38074000.0,38052000.0,,,-6500000.0,,,699830000.0,171652000.0,,3050665000.0,1153457000.0,,-5612000.0,,-32247000.0,33401000.0,-70174000.0,1300000.0,11243000.0,,-30670000.0,1524635000.0,9098000.0,1279931000.0,95660000.0,-43619000.0,748732000.0,634000.0,-28142000.0,-14864000.0,493960000.0,11543000.0,4651121000.0,1270000.0,311737000.0,5827460000.0,855435000.0,1839000.0,-39532000.0,"Cornerstone Building Brands, Inc.",USD,Industrials,Building Products & Equipment
COHR,2021-04-03,15128000.0,141025000.0,-234522000.0,1095454000.0,,,-198762000.0,794953000.0,-40547000.0,373982000.0,-46582000.0,6875000.0,-1495000.0,-17084000.0,714304000.0,353049000.0,17887000.0,338222000.0,676124000.0,101953000.0,344261000.0,,35760000.0,,-158215000.0,-154585000.0,-27416000.0,-348000.0,6587000.0,-158215000.0,-158215000.0,20221000.0,,-2588000.0,,,261202000.0,72662000.0,,409622000.0,232957000.0,,-17084000.0,32007000.0,-143250000.0,99425000.0,11527000.0,,196709000.0,,20568000.0,16876000.0,38085000.0,97490000.0,35760000.0,-4512000.0,393672000.0,-6904000.0,31768000.0,-2936000.0,139385000.0,,960300000.0,243000.0,93028000.0,1755253000.0,342992000.0,144833000.0,-21972000.0,"Coherent, Inc.",USD,Technology,Scientific & Technical Instruments
COHR,2021-07-03,15129000.0,155983000.0,-5855000.0,1155274000.0,,,38827000.0,839456000.0,8565000.0,395759000.0,10027000.0,7730000.0,-51382000.0,-18748000.0,744566000.0,394098000.0,18900000.0,351077000.0,715306000.0,106654000.0,371511000.0,,44682000.0,,30262000.0,51153000.0,-5414000.0,-830000.0,6587000.0,30262000.0,30262000.0,60000.0,,26109000.0,,,269377000.0,78219000.0,,437269000.0,239776000.0,,-18748000.0,31982000.0,71404000.0,93955000.0,-2082000.0,,211252000.0,,3071000.0,17496000.0,40111000.0,113394000.0,44682000.0,-4552000.0,400547000.0,-735000.0,13590000.0,31866000.0,149000000.0,,1022731000.0,244000.0,108831000.0,1862187000.0,371267000.0,146316000.0,-23451000.0,"Coherent, Inc.",USD,Technology,Scientific & Technical Instruments
COHR,2021-10-02,,151836000.0,-10864000.0,1179285000.0,,,29736000.0,868185000.0,8678000.0,391674000.0,11086000.0,8395000.0,-6598000.0,-20818000.0,765624000.0,456534000.0,19727000.0,351074000.0,748184000.0,105261000.0,379309000.0,,40600000.0,,21058000.0,52277000.0,4522000.0,-281000.0,6566000.0,21058000.0,21058000.0,15030000.0,,-2501000.0,,,264957000.0,102569000.0,,425800000.0,239838000.0,,-20818000.0,8083000.0,69853000.0,101493000.0,978000.0,,209435000.0,,2811000.0,14740000.0,36506000.0,123135000.0,40600000.0,-4518000.0,392241000.0,-8196000.0,-1947000.0,-2782000.0,147251000.0,900000.0,1020745000.0,244000.0,104539000.0,1888930000.0,382215000.0,153685000.0,-22067000.0,"Coherent, Inc.",USD,Technology,Scientific & Technical Instruments
COHR,2022-01-01,,167564000.0,-7162000.0,1131440000.0,,,36294000.0,897984000.0,6029000.0,384507000.0,28762000.0,9005000.0,-16814000.0,-22115000.0,795889000.0,392552000.0,16222000.0,341051000.0,781053000.0,103785000.0,379184000.0,,43456000.0,,30265000.0,-52252000.0,4328000.0,-37935000.0,6566000.0,30265000.0,30265000.0,,,-12385000.0,,,259208000.0,93774000.0,,413799000.0,216943000.0,,-22115000.0,29769000.0,12081000.0,116171000.0,-6626000.0,,220845000.0,,-55734000.0,13146000.0,39270000.0,123964000.0,43456000.0,-4095000.0,393629000.0,-3765000.0,-4079000.0,-43754000.0,129389000.0,,950416000.0,246000.0,100424000.0,1848400000.0,345376000.0,159616000.0,-16884000.0,"Coherent, Inc.",USD,Technology,Scientific & Technical Instruments
COHU,2021-06-26,80193000.0,104357000.0,73700000.0,826597000.0,,120886000.0,112755000.0,850231000.0,17659000.0,244803000.0,7154000.0,102474000.0,1535000.0,-14240000.0,148933000.0,353896000.0,12105000.0,205748000.0,407337000.0,226577000.0,91871000.0,,39055000.0,,95096000.0,-65111000.0,14580000.0,-186000.0,,95096000.0,95096000.0,4161000.0,,-100607000.0,,,216008000.0,32834000.0,,111744000.0,140446000.0,,-14240000.0,23423000.0,34340000.0,51279000.0,-1898000.0,,10370000.0,,4813000.0,216317000.0,1046000.0,666942000.0,39055000.0,-1831000.0,155850000.0,-193000.0,0.0,-100793000.0,64632000.0,,521501000.0,48596000.0,102111000.0,1371732000.0,321312000.0,,-3375000.0,"Cohu, Inc.",USD,Technology,Semiconductor Equipment & Materials
COHU,2021-09-25,76020000.0,95705000.0,-2532000.0,743507000.0,,120886000.0,31125000.0,871979000.0,7392000.0,225063000.0,7154000.0,4289000.0,1535000.0,-19413000.0,172666000.0,288785000.0,12105000.0,191406000.0,441930000.0,223683000.0,91432000.0,,33657000.0,,23733000.0,-65111000.0,14580000.0,-186000.0,,23733000.0,23733000.0,4161000.0,,-100607000.0,,,200496000.0,30377000.0,,110887000.0,129358000.0,,-19413000.0,22792000.0,34340000.0,47031000.0,-1898000.0,,7880000.0,,4813000.0,206366000.0,1774000.0,670042000.0,33657000.0,-966000.0,157512000.0,-193000.0,-27114000.0,-100793000.0,64706000.0,,400889000.0,48684000.0,86575000.0,1272868000.0,202152000.0,,-3375000.0,"Cohu, Inc.",USD,Technology,Semiconductor Equipment & Materials
COHU,2021-12-25,89704000.0,81506000.0,-2259000.0,750793000.0,,120886000.0,17282000.0,882502000.0,-3607000.0,191860000.0,8263000.0,11338000.0,-16824000.0,-34586000.0,193555000.0,290201000.0,11466000.0,172319000.0,471891000.0,219791000.0,89017000.0,,19541000.0,,20889000.0,1416000.0,6415000.0,-5906000.0,,20889000.0,20889000.0,-13799000.0,,-93000.0,,,192873000.0,31123000.0,,103393000.0,110354000.0,,-27262000.0,22596000.0,27768000.0,33995000.0,-8333000.0,,8623000.0,,899000.0,190820000.0,768000.0,674777000.0,19541000.0,-1041000.0,161053000.0,-3529000.0,325000.0,-5999000.0,58650000.0,,376542000.0,48756000.0,85230000.0,1259044000.0,192459000.0,,-3076000.0,"Cohu, Inc.",USD,Technology,Semiconductor Equipment & Materials
COHU,2022-03-31,91502000.0,91156000.0,-406000.0,752156000.0,,,27863000.0,886897000.0,6294000.0,197757000.0,4023000.0,4310000.0,-4775000.0,-50286000.0,215124000.0,267068000.0,11667000.0,169488000.0,490320000.0,216234000.0,88782000.0,,28269000.0,,21569000.0,-23133000.0,-19873000.0,-10031000.0,,21569000.0,21569000.0,-2163000.0,,-9100000.0,,,210742000.0,31246000.0,,101959000.0,106601000.0,,-36574000.0,23106000.0,1991000.0,39104000.0,-1123000.0,,5830000.0,,-20700000.0,180343000.0,824000.0,673034000.0,28269000.0,-981000.0,160363000.0,-1218000.0,3599000.0,-19131000.0,56238000.0,,356448000.0,49025000.0,85631000.0,1243345000.0,176469000.0,,-2669000.0,"Cohu, Inc.",USD,Technology,Semiconductor Equipment & Materials
COP,2021-03-31,5668000000.0,4138000000.0,231000000.0,14614000000.0,,119000000.0,1714000000.0,43155000000.0,732000000.0,9948000000.0,-773000000.0,689000000.0,-1215000000.0,-52752000000.0,35608000000.0,2831000000.0,1886000000.0,8465000000.0,43155000000.0,,58270000000.0,-26000000.0,1483000000.0,-588000000.0,982000000.0,-152000000.0,-785000000.0,-375000000.0,27000000.0,982000000.0,982000000.0,-499000000.0,415000000.0,-26000000.0,,,4481000000.0,274000000.0,,18465000000.0,5810000000.0,,-5080000000.0,,2080000000.0,1180000000.0,-51000000.0,,2523000000.0,,-43000000.0,,326000000.0,60278000000.0,1483000000.0,-226000000.0,1098000000.0,-2000000.0,424000000.0,-1015000000.0,14016000000.0,8286000000.0,40538000000.0,21000000.0,3779000000.0,83693000000.0,7184000000.0,,-1217000000.0,ConocoPhillips,USD,Energy,Oil & Gas E&P
